video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes
xK3nR7P4UiM,2021-01-01,Midnight Garden,Luna Dreams,10,2020-03-15T18:22:31Z,"music,ambient,electronic",234567,15678,876
yH8mB5Kj2Nw,2021-01-01,Mountain Echo,Forest Spirits,10,2019-08-22T12:15:44Z,"music,folk,acoustic",456789,23456,1234
zP9qL4vX5Rx,2021-01-01,Urban Waves,City Sounds,10,2020-11-03T09:33:17Z,"music,lofi,instrumental",345678,18901,987
mR2tN8pK3Vy,2021-01-02,Desert Wind,Sand Walker,10,2019-05-17T14:28:55Z,"music,world,meditation",567890,34567,2345
nQ5wJ7mL8Hz,2021-01-02,Ocean Depths,Deep Blue,10,2020-07-29T16:44:23Z,"music,ambient,nature",289012,16789,765
pS3kR9nM4Gx,2021-01-02,Neon Nights,Cyber Pulse,10,2019-12-11T21:17:39Z,"music,synthwave,electronic",478901,28901,1543
qT7vL2pN5Fy,2021-01-03,Forest Rain,Nature Sounds,10,2020-04-08T08:55:12Z,"music,ambient,relaxation",345678,19012,876
rW8xM3qK6Hz,2021-01-03,Crystal Cave,Echo Chamber,10,2019-09-25T15:36:48Z,"music,experimental,ambient",234567,14567,654
sX9yN4pR7Jw,2021-01-03,Solar Winds,Space Dreams,10,2020-08-14T11:27:33Z,"music,space,ambient",567890,31234,1987
tY2zP5mS8Kx,2021-01-04,Arctic Light,Northern Tales,10,2019-06-30T19:48:26Z,"music,atmospheric,ambient",389012,21345,1234
